
 OVERVIEW
 
key,value
version,2.0
generator,glTF-Transform v4.2.1
extensionsUsed,none
extensionsRequired,none




 SCENES
 
#,name,rootName,bboxMin,bboxMax,renderVertexCount,uploadVertexCount,uploadNaiveVertexCount
42,mtl1,1,,OPAQUE,
43,mtl1,1,,OPAQUE,
44,mtl1,1,,OPAQUE,
45,mtl1,1,,OPAQUE,
46,mtl1,1,,OPAQUE,
47,mtl1,1,,OPAQUE,
48,mtl1,1,,OPAQUE,
49,mtl1,1,,OPAQUE,
50,mtl1,1,,OPAQUE,
51,mtl1,1,,OPAQUE,
52,mtl1,1,,OPAQUE,
53,mtl1,1,,OPAQUE,
54,mtl1,1,,OPAQUE,
55,mtl1,1,,OPAQUE,
56,mtl1,1,,OPAQUE,
57,mtl1,1,,OPAQUE,
58,mtl1,1,,OPAQUE,
59,mtl1,1,,OPAQUE,
60,mtl1,1,,OPAQUE,
61,mtl1,1,,OPAQUE,
62,mtl1,1,,OPAQUE,
63,mtl1,1,,OPAQUE,
64,mtl1,1,,OPAQUE,
65,mtl1,1,,OPAQUE,
66,mtl1,1,,OPAQUE,
67,mtl1,1,,OPAQUE,
68,mtl1,1,,OPAQUE,
69,mtl1,1,,OPAQUE,
70,mtl1,1,,OPAQUE,
71,mtl1,1,,OPAQUE,
72,mtl1,1,,OPAQUE,
73,mtl1,1,,OPAQUE,
74,mtl1,1,,OPAQUE,
75,mtl1,1,,OPAQUE,
76,mtl1,1,,OPAQUE,
77,mtl1,1,,OPAQUE,
78,mtl1,1,,OPAQUE,
79,mtl1,1,,OPAQUE,
80,mtl1,1,,OPAQUE,
81,mtl1,1,,OPAQUE,
82,mtl1,1,,OPAQUE,
83,mtl1,1,,OPAQUE,
84,mtl1,1,,OPAQUE,
85,mtl1,1,,OPAQUE,
86,mtl1,1,,OPAQUE,
87,mtl1,1,,OPAQUE,
88,mtl1,1,,OPAQUE,
89,mtl1,1,,OPAQUE,
90,mtl1,1,,OPAQUE,
91,mtl1,1,,OPAQUE,
92,mtl1,1,,OPAQUE,
93,mtl1,1,,OPAQUE,
94,mtl1,1,,OPAQUE,
95,mtl1,1,,OPAQUE,




 TEXTURES
 
No textures found.


 ANIMATIONS
 
No animations found.

