
 OVERVIEW
 
key,value
version,2.0
generator,glTF-Transform v4.2.1
extensionsUsed,none
extensionsRequired,none




 SCENES
 
#,name,rootName,bboxMin,bboxMax,renderVertexCount,uploadVertexCount,uploadNaiveVertexCount
46,FJ1382,grp1,"-40.6511, -159.502, 1507.91003","-20.2728, -141.799, 1528.19995",16308,2775,2775
47,FJ1423,grp1,"-162.519, -113.37, 314.28699","-91.8024, -32.6369, 945.15198",51516,9425,9425
48,FJ1423M,grp1,"91.8023, -113.37, 314.28699","162.519, -32.6368, 945.15198",51516,9425,9425
49,FJ1426,grp1,"-119.051, -107.096, 770.37299","-21.5333, -29.3431, 827.49402",7398,1883,1883
50,FJ1426M,grp1,"21.5333, -107.096, 770.37299","119.051, -29.3431, 827.49402",7398,1884,1884
51,FJ1428,grp1,"-137.06, -72.0186, 806.05603","-25.4805, -12.0822, 872.40302",3276,798,798
52,FJ1428M,grp1,"25.4805, -72.0186, 806.05603","137.06, -12.0822, 872.40302",3276,796,796
53,FJ1431,grp1,"-113.758, -119.566, 735.21503","-7.47519, -53.1349, 1098.73999",14700,3632,3632
54,FJ1431M,grp1,"7.47519, -119.566, 735.21503","113.757, -53.1349, 1098.73999",14700,3634,3634
55,FJ1446,grp1,"-180.896, -213.62801, 1104.78003","-48, -81.7564, 1277.93994",4608,1019,1019
56,FJ1446M,grp1,"48, -213.62801, 1104.78003","180.896, -81.7564, 1277.93994",4608,1019,1019
57,FJ1450,grp1,"-14.7874, -38.7243, 753.60999","-3.28195, -16.9439, 774.86102",1104,250,250
58,FJ1450M,grp1,"3.28195, -38.7244, 753.60999","14.7874, -16.9439, 774.86102",1104,250,250
59,FJ1452,grp1,"-140.823, -218.76601, 793.62598","-3.44858, -37.0208, 1211.57996",335478,63907,63907
60,FJ1452M,grp1,"3.44857, -218.76601, 793.625","140.823, -37.0208, 1211.57996",335478,63893,63893
61,FJ1456,grp1,"-130.17599, -173.047, 1181.66003","-69.7359, -80.3492, 1326.67004",28404,6741,6741
62,FJ1456M,grp1,"69.7359, -173.047, 1181.66003","130.17599, -80.3492, 1326.67004",28404,6746,6746
63,FJ1459,grp1,"-144.392, -157.592, 1078.16003","-57.7297, 5.26406, 1348.38",147636,28465,28465
64,FJ1459M,grp1,"57.7298, -157.592, 1078.16003","144.392, 5.26406, 1348.38",147636,28450,28450
65,FJ1460,grp1,"-104.677, -134.87399, 1311.45996","-34.288, -74.0993, 1342.85999",4920,1155,1155
66,FJ1460M,grp1,"34.288, -134.87399, 1311.40002","104.677, -74.0993, 1342.85999",4920,1158,1158
67,FJ1461,grp1,"-89.5742, -209.521, 1143.44995","-2.33101, -155.483, 1288.41003",12564,4749,4749
68,FJ1461M,grp1,"2.33101, -209.521, 1143.44995","89.5742, -155.483, 1288.41003",12564,4745,4745
69,FJ1464,grp1,"-187.84801, -219.353, 1140.60999","-4.81557, -81, 1313.80005",21342,5480,5480
70,FJ1464M,grp1,"4.81557, -219.353, 1140.60999","187.84801, -81, 1313.80005",21342,5466,5466
71,FJ1471,grp1,"-270.91901, -140.806, 779.479","-234.03101, -126.865, 806.43103",5772,1594,1594
72,FJ1471M,grp1,"234.03101, -140.806, 779.479","270.91901, -126.865, 806.43103",5772,1591,1591
73,FJ1485,grp1,"-229.308, -67.018, 959.53302","-206.336, -41.8221, 1060.89001",3834,1105,1105
74,FJ1485M,grp1,"206.336, -67.018, 959.53302","229.308, -41.8221, 1060.89001",3834,1106,1106
75,FJ1486M,grp1,"176.38499, -86.3959, 995.36102","235.121, -60.5697, 1220.19995",5238,1256,1256
76,FJ1488M,grp1,"130.151, -106.175, 1170.13","189.42599, -66.8605, 1327.87",1332,449,449
77,FJ1532,grp1,"-81.0786, -82.4535, 1309.31995","-21.0748, -12.0873, 1468.56006",14154,3311,3311
78,FJ1532M,grp1,"21.0748, -82.4535, 1309.31995","81.0786, -12.0873, 1468.56006",14154,3324,3324
79,FJ1536,grp1,"-89.5036, -22.0981, 1188.18994","0.77676, 6.09221, 1361.66003",21606,5057,5057
80,FJ1536M,grp1,"-0.77676, -22.0981, 1188.18994","89.5036, 6.09221, 1361.66003",21606,5063,5063
81,FJ1537,grp1,"-61.7054, -36.0764, 1280.80005","0.91605, -4.81602, 1387.51001",6618,1506,1506
82,FJ1537M,grp1,"-0.91605, -36.0764, 1280.80005","61.7054, -4.81602, 1387.51001",6618,1505,1505
83,FJ1654,grp1,"-15.4, -121.207, 1534.87","-1.09873, -109.004, 1548.97998",1200,213,213
84,FJ1654M,grp1,"1.09873, -121.207, 1534.87","15.4, -109.005, 1548.97998",1200,213,213
85,FJ1655,grp1,"-4.15553, -113.342, 1537","2.7064, -111.532, 1538.37",240,63,63
86,FJ1656,grp1,"-35.6882, -89.2638, 1502.10999","0.64644, -61.1376, 1511.88",2298,524,524
87,FJ1656M,grp1,"-0.64644, -89.2639, 1502.10999","35.6882, -61.1376, 1511.88",2298,519,519
88,FJ1657,grp1,"-14.499, -73.3717, 1465.53003","0.42393, -65.0262, 1493.16003",912,218,218
89,FJ1658,grp1,"-34.0336, -108.363, 1533.31006","-11.1339, -61.688, 1547.16003",1254,343,343
90,FJ1658M,grp1,"11.1339, -108.363, 1533.31006","34.0336, -61.688, 1547.16003",1254,343,343
91,FJ1661,grp1,"-57.2281, -98.7246, 1518.76001","-16.8334, -49.6103, 1532.91003",7464,1473,1473
92,FJ1661M,grp1,"16.8334, -98.7246, 1518.76001","57.2281, -49.6103, 1532.91003",7464,1471,1471
93,FJ2810,grp1,"-334.11899, -246.783, -78.1112","332.82501, 45.2476, 1641.35999",610146,102467,102467
94,FJ3131,grp1,"-122.329, -205.323, 985.85199","120.863, -25.9158, 1192.57996",205566,35527,35527
95,FJ3396,grp1,"-79.9072, -168.89999, 819.84698","92.673, -120.226, 1030.34998",114822,56947,56947




 MESHES
 
#,name,mode,meshPrimitives,glPrimitives,vertices,indices,attributes,instances,size
0,grp1_1,TRIANGLES,1,1848,1115,u16,"NORMAL:f32, POSITION:f32",1,37848
1,grp1_1,TRIANGLES,1,1918,1029,u16,"NORMAL:f32, POSITION:f32",1,36204
2,grp1_1,TRIANGLES,1,3064,1535,u16,"NORMAL:f32, POSITION:f32",1,55224
3,grp1_1,TRIANGLES,1,28918,15355,u16,"NORMAL:f32, POSITION:f32",1,542028
4,grp1_1,TRIANGLES,1,6704,3865,u16,"NORMAL:f32, POSITION:f32",1,132984
5,grp1_1,TRIANGLES,1,4602,2824,u16,"NORMAL:f32, POSITION:f32",1,95388
6,grp1_1,TRIANGLES,1,2360,1217,u16,"NORMAL:f32, POSITION:f32",1,43368
7,grp1_1,TRIANGLES,1,3560,1858,u16,"NORMAL:f32, POSITION:f32",1,65952
8,grp1_1,TRIANGLES,1,3286,1716,u16,"NORMAL:f32, POSITION:f32",1,60900
9,grp1_1,TRIANGLES,1,634,371,u16,"NORMAL:f32, POSITION:f32",1,12708
10,grp1_1,TRIANGLES,1,1768,903,u16,"NORMAL:f32, POSITION:f32",1,32280
11,grp1_1,TRIANGLES,1,248,126,u16,"NORMAL:f32, POSITION:f32",1,4512
12,grp1_1,TRIANGLES,1,444,227,u16,"NORMAL:f32, POSITION:f32",1,8112
13,grp1_1,TRIANGLES,1,3316,1745,u16,"NORMAL:f32, POSITION:f32",1,61776
14,grp1_1,TRIANGLES,1,1606,805,u16,"NORMAL:f32, POSITION:f32",1,28956
15,grp1_1,TRIANGLES,1,4360,2353,u16,"NORMAL:f32, POSITION:f32",1,82632
16,grp1_1,TRIANGLES,1,2576,1353,u16,"NORMAL:f32, POSITION:f32",1,47928
17,grp1_1,TRIANGLES,1,382,193,u16,"NORMAL:f32, POSITION:f32",1,6924
18,grp1_1,TRIANGLES,1,39504,20372,u16,"NORMAL:f32, POSITION:f32",1,725952
19,grp1_1,TRIANGLES,1,7256,6332,u16,"NORMAL:f32, POSITION:f32",1,195504
20,grp1_1,TRIANGLES,1,3604,1881,u16,"NORMAL:f32, POSITION:f32",1,66768
21,grp1_1,TRIANGLES,1,2836,1527,u16,"NORMAL:f32, POSITION:f32",1,53664
22,grp1_1,TRIANGLES,1,1484,748,u16,"NORMAL:f32, POSITION:f32",1,26856
23,grp1_1,TRIANGLES,1,1034,525,u16,"NORMAL:f32, POSITION:f32",1,18804
24,grp1_1,TRIANGLES,1,5448,2764,u16,"NORMAL:f32, POSITION:f32",1,99024
25,grp1_1,TRIANGLES,1,6714,3915,u16,"NORMAL:f32, POSITION:f32",1,134244
26,grp1_1,TRIANGLES,1,28872,15685,u16,"NORMAL:f32, POSITION:f32",1,549672
27,grp1_1,TRIANGLES,1,4606,3091,u16,"NORMAL:f32, POSITION:f32",1,101820
28,grp1_1,TRIANGLES,1,2342,1241,u16,"NORMAL:f32, POSITION:f32",1,43836
29,grp1_1,TRIANGLES,1,3542,1851,u16,"NORMAL:f32, POSITION:f32",1,65676
30,grp1_1,TRIANGLES,1,3248,1734,u16,"NORMAL:f32, POSITION:f32",1,61104
31,grp1_1,TRIANGLES,1,526,336,u16,"NORMAL:f32, POSITION:f32",1,11220
32,grp1_1,TRIANGLES,1,1812,920,u16,"NORMAL:f32, POSITION:f32",1,32952
33,grp1_1,TRIANGLES,1,248,126,u16,"NORMAL:f32, POSITION:f32",1,4512
34,grp1_1,TRIANGLES,1,444,227,u16,"NORMAL:f32, POSITION:f32",1,8112
35,grp1_1,TRIANGLES,1,3276,1705,u16,"NORMAL:f32, POSITION:f32",1,60576
36,grp1_1,TRIANGLES,1,1598,801,u16,"NORMAL:f32, POSITION:f32",1,28812
37,grp1_1,TRIANGLES,1,4360,2451,u16,"NORMAL:f32, POSITION:f32",1,84984
38,grp1_1,TRIANGLES,1,2548,1357,u16,"NORMAL:f32, POSITION:f32",1,47856
39,grp1_1,TRIANGLES,1,384,194,u16,"NORMAL:f32, POSITION:f32",1,6960
40,grp1_1,TRIANGLES,1,39524,20582,u16,"NORMAL:f32, POSITION:f32",1,731112
41,grp1_1,TRIANGLES,1,7376,7285,u16,"NORMAL:f32, POSITION:f32",1,219096
42,grp1_1,TRIANGLES,1,3546,1870,u16,"NORMAL:f32, POSITION:f32",1,66156
43,grp1_1,TRIANGLES,1,2812,1532,u16,"NORMAL:f32, POSITION:f32",1,53640
44,grp1_1,TRIANGLES,1,1474,745,u16,"NORMAL:f32, POSITION:f32",1,26724
45,grp1_1,TRIANGLES,1,1026,523,u16,"NORMAL:f32, POSITION:f32",1,18708
46,grp1_1,TRIANGLES,1,5436,2775,u16,"NORMAL:f32, POSITION:f32",1,99216
47,grp1_1,TRIANGLES,1,17172,9425,u16,"NORMAL:f32, POSITION:f32",1,329232
48,grp1_1,TRIANGLES,1,17172,9425,u16,"NORMAL:f32, POSITION:f32",1,329232
49,grp1_1,TRIANGLES,1,2466,1883,u16,"NORMAL:f32, POSITION:f32",1,59988
50,grp1_1,TRIANGLES,1,2466,1884,u16,"NORMAL:f32, POSITION:f32",1,60012
51,grp1_1,TRIANGLES,1,1092,798,u16,"NORMAL:f32, POSITION:f32",1,25704
52,grp1_1,TRIANGLES,1,1092,796,u16,"NORMAL:f32, POSITION:f32",1,25656
53,grp1_1,TRIANGLES,1,4900,3632,u16,"NORMAL:f32, POSITION:f32",1,116568
